Marca de Tiempo,Uso de Memoria (%)
14:03:36, 75.4
14:03:37, 75.5
14:03:38, 75.4
14:03:39, 75.4
14:03:40, 75.4
14:03:41, 75.4
14:03:42, 75.3
14:03:43, 75.4
14:03:44, 75.3
14:03:45, 75.4
14:03:46, 75.4
14:03:47, 75.2
14:03:48, 75.2
14:03:49, 75.1
14:03:50, 75.1
14:03:51, 75.1
14:03:52, 75.1
14:03:53, 75.1
14:03:54, 75.1
14:03:55, 75.1
14:03:56, 75.0
14:03:57, 75.0
14:03:58, 75.0
14:03:59, 75.0
14:04:00, 75.0
14:04:01, 75.0
14:04:02, 75.0
14:04:03, 75.0
14:04:04, 75.2
14:04:05, 75.2
14:04:06, 75.1
14:04:07, 75.1
14:04:08, 75.0
14:04:09, 75.0
14:04:10, 75.0
14:04:11, 75.0
14:04:12, 75.0
14:04:13, 75.0
14:04:14, 75.2
14:04:15, 75.3
14:04:16, 75.2
14:04:17, 75.2
14:04:18, 75.1
14:04:19, 75.1
14:04:20, 75.1
14:04:21, 75.1
14:04:22, 75.2
14:04:23, 75.3
14:04:24, 75.3
14:04:25, 75.2
14:04:26, 75.2
14:04:27, 75.4
14:04:28, 75.4
14:04:29, 75.4
14:04:31, 75.5
14:04:32, 75.4
14:04:33, 75.4
14:04:34, 75.4
14:04:35, 75.3
14:04:36, 75.3
14:04:37, 75.4
14:04:38, 75.4
14:04:39, 75.4
14:04:40, 75.4
14:04:41, 75.4
14:04:42, 75.4
14:04:43, 75.4
14:04:44, 75.4
14:04:45, 75.2
14:04:46, 75.2
14:04:47, 75.2
14:04:48, 75.2
14:04:49, 75.2
14:04:50, 75.2
14:04:51, 75.2
14:04:52, 75.4
14:04:53, 75.4
14:04:54, 75.4
14:04:55, 75.3
14:04:56, 75.2
14:04:57, 75.2
14:04:58, 75.2
14:04:59, 75.3
14:05:00, 75.3
14:05:01, 75.7
14:05:02, 75.8
14:05:03, 76.7
14:05:04, 77.2
14:05:05, 77.1
14:05:06, 77.8
14:05:07, 77.6
14:05:08, 77.6
14:05:09, 77.6
14:05:10, 77.2
14:05:11, 77.1
14:05:12, 77.3
14:05:13, 77.9
14:05:14, 78.1
14:05:15, 78.2
14:05:16, 78.6
14:05:17, 78.6
14:05:18, 78.6
14:05:19, 78.5
14:05:20, 78.6
14:05:21, 78.6
14:05:22, 78.5
14:05:23, 78.5
14:05:24, 78.4
14:05:25, 78.4
14:05:26, 78.3
14:05:27, 78.3
14:05:28, 78.4
14:05:29, 78.4
14:05:30, 78.2
14:05:31, 78.5
14:05:32, 79.0
14:05:33, 78.4
14:05:34, 78.5
14:05:35, 78.5
14:05:36, 78.5
14:05:37, 78.4
14:05:38, 78.4
14:05:39, 78.1
